"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus valens","DN 158","Truslove, WA",188,2000,5,"R188/T05","CCA3780"
"Eucalyptus valens","DN 158","Truslove, WA",188,2000,6,"R188/T06","CCA3781"
"Eucalyptus valens","DN 158","Truslove, WA",188,2000,7,"R188/T07","CCA3782"
"Eucalyptus valens","DN 158","Truslove, WA",188,2000,8,"R188/T08","CCA3783"
"Eucalyptus oleosa subsp. ampliata","DN 2561","Bute, SA",188,2000,9,"R188/T09","CCA3784"
"Eucalyptus oleosa subsp. ampliata","DN 2561","Bute, SA",188,2000,11,"R188/T11","CCA3785"
"Eucalyptus oleosa subsp. ampliata","DN 2561","Bute, SA",188,2000,12,"R188/T12","CCA3786"
"Eucalyptus froggattii","DN 2583","Mitre, Vic",188,2000,13,"R188/T13","CCA3787"
"Eucalyptus froggattii","DN 2583","Mitre, Vic",188,2000,14,"R188/T14","CCA3788"
"Eucalyptus froggattii","DN 2583","Mitre, Vic",188,2000,15,"R188/T15","CCA3789"
"Eucalyptus froggattii","DN 2583","Mitre, Vic",188,2000,16,"R188/T16","CCA3790"
"Eucalyptus x macmahonii","DN 2582","Mitre, Vic",188,2000,21,"R188/T21","CCA3791"
"Eucalyptus x macmahonii","DN 2582","Mitre, Vic",188,2000,22,"R188/T22","CCA3792"
"Eucalyptus x macmahonii","DN 2582","Mitre, Vic",188,2000,23,"R188/T23","CCA3793"
"Eucalyptus kochii subsp. kochii","DN 2223","Dalwallinu, WA",188,2000,24,"R188/T24","CCA3794"
"Eucalyptus kochii subsp. kochii","DN 2223","Dalwallinu, WA",188,2000,26,"R188/T26","CCA3795"
"Eucalyptus kochii subsp. kochii","DN 2223","Dalwallinu, WA",188,2000,27,"R188/T27","CCA3796"
"Eucalyptus pendens","DN 256","Badgingarra, WA",188,2000,29,"R188/T29","CCA3797"
"Eucalyptus moderata","DN 2230","Cadoux, WA",188,2000,32,"R188/T32","CCA3798"
